"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.605752083E-1,4.426821721E-1,-1.233946105E0,-1.554745406E-1,1.320137428E0
9.705292083E-1,6.526825833E-1,-1.600049048E0,5.034764041E-1,1.799899997E0
9.804832083E-1,6.670749199E-1,-2.175646618E0,9.868423332E-1,2.480380000E0
9.904382083E-1,7.069312960E-1,-2.589449977E0,1.391203316E0,3.023317665E0
1.000392208E0,8.768332565E-1,-2.889472366E0,1.773385663E0,3.501825784E0
1.010346208E0,9.377776158E-1,-2.711787761E0,2.127937431E0,3.572301419E0
1.020300208E0,1.017291563E0,-2.522221615E0,2.424536861E0,3.643468538E0
1.030254208E0,1.140825688E0,-2.472937188E0,2.720563263E0,3.849463086E0
1.040208208E0,1.355486915E0,-2.521042816E0,3.104226564E0,4.222466603E0
1.050162208E0,1.606454673E0,-2.699333777E0,3.544945825E0,4.736426961E0
1.060117208E0,1.742577268E0,-2.890243029E0,3.648052118E0,4.969744919E0
1.070071208E0,1.667142924E0,-2.983924779E0,3.247185724E0,4.714593062E0
1.080025208E0,1.376119400E0,-2.937756334E0,2.507735138E0,4.100347839E0
1.089979208E0,1.033353279E0,-2.806111536E0,1.783828205E0,3.481971283E0
1.099933208E0,6.329160708E-1,-2.605994089E0,1.311156834E0,2.985116444E0
1.109887208E0,3.159157062E-1,-2.534476794E0,1.022743653E0,2.751250612E0
1.119842208E0,8.549038589E-2,-2.617150576E0,7.261006616E-1,2.717353108E0
1.129796208E0,-1.681004333E-1,-2.538483891E0,2.107966559E-1,2.552761926E0
1.139750208E0,-1.945298481E-1,-2.006608876E0,-4.830501795E-1,2.073079477E0
1.149704208E0,2.159359199E-1,-1.173243236E0,-1.148783163E0,1.656149380E0
1.159658208E0,5.851244384E-1,-3.208928561E-1,-1.779668496E0,1.900674299E0
1.169612208E0,1.209791842E0,4.870046514E-1,-2.360630887E0,2.696914536E0
1.179566208E0,1.896201165E0,1.319572147E0,-2.819770047E0,3.645264411E0
1.189521208E0,2.384891569E0,2.125698532E0,-3.155959219E0,4.490699349E0
1.199475208E0,2.503384225E0,2.859643965E0,-3.442818649E0,5.128108465E0
1.209429208E0,1.916852946E0,3.376311541E0,-3.454828245E0,5.197080242E0
1.219383208E0,4.114907849E-1,3.418429620E0,-2.951427124E0,4.534965028E0
1.229337208E0,-1.697492312E0,3.180549685E0,-1.810583456E0,4.034301538E0
1.239291208E0,-3.696923731E0,2.920895303E0,-5.371088576E-1,4.742083969E0
1.249246208E0,-4.819340630E0,2.921005231E0,3.999782020E-1,5.649628149E0
1.259200208E0,-4.160230787E0,3.552890437E0,1.235146539E0,5.608577148E0
1.269154208E0,-1.381056789E0,4.669589928E0,1.846069477E0,5.207721236E0
1.279108208E0,1.987242898E0,5.180275803E0,1.939821394E0,5.877695022E0
1.289062208E0,4.458544035E0,4.622637956E0,1.665034418E0,6.634737086E0
1.299016208E0,5.036534870E0,3.024716125E0,1.211660905E0,5.998642620E0
1.308971208E0,3.390967587E0,5.117676097E-1,9.473813751E-1,3.557822190E0
1.318925208E0,1.541244185E0,-1.771175416E0,9.217229158E-1,2.522314240E0
1.328879208E0,3.492003965E-1,-3.247244781E0,1.055910375E0,3.432416977E0
1.338833208E0,-3.633927584E-1,-4.003523653E0,1.250876426E0,4.210100684E0
1.348787208E0,-6.891241854E-1,-3.960468850E0,1.476833889E0,4.282667859E0
1.358741208E0,-7.440769029E-1,-3.186232594E0,1.892928186E0,3.780066891E0
1.368696208E0,-7.659548450E-1,-2.012806925E0,2.117479394E0,3.020231369E0
1.378650208E0,-9.693753844E-1,-8.841323358E-1,1.758349548E0,2.193894199E0
1.388604208E0,-1.368908613E0,-7.475489795E-2,9.962100112E-1,1.694677985E0
1.398558208E0,-1.864834946E0,3.989128393E-1,1.271167141E-1,1.911255998E0
