"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.842329584E-1,-1.963916016E-1,-4.561015320E-1,9.969119110E0,9.981479555E0
8.941889583E-1,-2.168989563E-1,-4.252656555E-1,9.927805023E0,9.939276061E0
9.041449584E-1,-2.366578674E-1,-4.194277954E-1,9.880503387E0,9.892233004E0
9.141009584E-1,-2.977308655E-1,-4.781057739E-1,9.811945953E0,9.828098096E0
9.240559584E-1,-3.417393494E-1,-4.728666687E-1,9.798923035E0,9.816276346E0
9.340119584E-1,-3.573069763E-1,-4.722679138E-1,9.826765137E0,9.844593354E0
9.439679583E-1,-3.288661194E-1,-4.331991577E-1,9.888287201E0,9.903233725E0
9.539239584E-1,-2.565664673E-1,-3.878434753E-1,9.968819733E0,9.979660103E0
9.638789584E-1,-2.439926147E-1,-3.727249146E-1,1.006012985E1,1.006998853E1
9.738349584E-1,-2.899470520E-1,-3.496728516E-1,1.009979736E1,1.011000728E1
9.837909584E-1,-3.197351074E-1,-3.255729675E-1,1.011027557E1,1.012056819E1
9.937469583E-1,-3.297642517E-1,-2.914439392E-1,1.014485367E1,1.015439511E1
1.003701958E0,-3.314108276E-1,-3.273692322E-1,1.015308655E1,1.016376752E1
1.013657958E0,-3.520678711E-1,-4.001179504E-1,1.011401779E1,1.012805026E1
1.023613958E0,-2.930905151E-1,-4.733157349E-1,1.002165985E1,1.003711094E1
1.033569958E0,-2.089654541E-1,-4.396357727E-1,1.004830444E1,1.006008789E1
1.043524958E0,-1.594184875E-1,-3.487747192E-1,1.015458344E1,1.016182182E1
1.053480958E0,-1.484912109E-1,-2.776725769E-1,1.029259644E1,1.029741196E1
1.063436958E0,-1.764830017E-1,-2.206411743E-1,1.050440598E1,1.050820506E1
1.073392958E0,-2.493814087E-1,-1.996847534E-1,1.067205734E1,1.067683816E1
1.083347958E0,-3.418890381E-1,-2.173480225E-1,1.072369995E1,1.073134982E1
1.093303958E0,-3.927832031E-1,-2.510279846E-1,1.073552536E1,1.074564090E1
1.103259958E0,-3.999682617E-1,-2.595602417E-1,1.074001602E1,1.075059488E1
1.113215958E0,-3.983216858E-1,-2.670446777E-1,1.071935898E1,1.073008061E1
1.123170958E0,-3.945794678E-1,-2.329156494E-1,1.073762100E1,1.074739259E1
1.133126958E0,-3.534150696E-1,-1.871109009E-1,1.075064392E1,1.075807870E1
1.143082958E0,-2.707868958E-1,-1.588197327E-1,1.076426559E1,1.076884223E1
1.153038958E0,-1.922003174E-1,-1.387614441E-1,1.078582077E1,1.078842553E1
