"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.297948083E0	-6.390787438E-1	1.688603375E0	4.710050322E0	5.044241968E0
1.307940083E0	-3.470394118E-1	1.805391860E0	5.375834177E0	5.681502373E0
1.317931083E0	3.185005409E-1	1.935500886E0	6.213471208E0	6.515737159E0
1.327923083E0	8.088829096E-1	1.411901728E0	6.247920079E0	6.456335134E0
1.337915083E0	8.642281213E-1	3.455204514E-1	5.591324539E0	5.668261173E0
1.347906083E0	4.133958077E-1	-2.401524559E-1	4.884737644E0	4.908078152E0
1.357898083E0	-4.027748156E-1	-7.975499824E-1	3.764455563E0	3.869035954E0
1.367890083E0	-1.293413166E0	-1.034338535E0	2.905732888E0	3.344556389E0
1.377881083E0	-1.299676849E0	-6.059586525E-1	1.973642274E0	2.439592103E0
1.387873083E0	-6.185254153E-1	-5.980739745E-1	9.366262990E-1	1.271823491E0
1.397865083E0	6.375710392E-1	-1.287726164E0	6.571504408E-1	1.580057659E0
1.407857083E0	6.900261185E-1	-9.891249400E-1	3.489437038E-1	1.255494285E0
1.417848083E0	5.106980992E-2	-5.920867181E-1	-2.145302492E-1	6.318212050E-1
1.427840083E0	-4.693113423E-1	-7.302537927E-1	-6.666012955E-1	1.094477512E0
1.437832083E0	-1.165795564E-1	-1.651965599E0	-6.767526466E-1	1.789015170E0
1.447823083E0	3.974011148E-1	-2.518035301E0	-6.024327815E-1	2.619418767E0
1.457815083E0	3.836336993E-1	-3.122075482E0	-9.624049187E-1	3.289491352E0
1.467807083E0	-3.299330901E-1	-3.583018801E0	-1.146429074E0	3.776397648E0
1.477798083E0	-5.138028793E-1	-3.861878362E0	-1.180022498E0	4.070694164E0
1.487790083E0	-3.734015836E-1	-3.867261309E0	-1.216065904E0	4.071112263E0
1.497782083E0	-4.757774127E-1	-3.472323699E0	-1.352555121E0	3.756700863E0
1.507773083E0	-6.329411408E-1	-2.828589695E0	-1.362390137E0	3.202755226E0
1.517765083E0	-1.705814947E0	-1.996665393E0	-1.543998808E0	3.046376478E0
1.527757083E0	-2.208178187E0	-1.825358639E0	-2.212261882E0	3.619680608E0
1.537748083E0	-2.150077036E0	-1.970043898E0	-2.893363103E0	4.107974473E0
1.547740083E0	-2.054627673E0	-1.688151093E0	-3.693566260E0	4.551239469E0
1.557732083E0	-1.338048909E0	-1.411142467E0	-4.347460386E0	4.762573858E0
1.567723083E0	-9.743187667E-1	-1.185777912E0	-4.676817087E0	4.922193046E0
1.577715083E0	-5.865686641E-1	-1.029474236E0	-5.214380858E0	5.347302847E0
1.587707083E0	-3.819881101E-1	-6.901456940E-1	-5.388147243E0	5.445580475E0
1.597698083E0	-1.591494425E-1	-4.224709788E-1	-5.555143722E0	5.573457818E0
1.607690083E0	2.782382950E-2	-5.165377682E-1	-5.490537252E0	5.514851289E0
1.617682083E0	-3.434022244E-2	-6.909616730E-1	-4.907190952E0	4.955716933E0
1.627673083E0	-2.359733047E-1	-7.192414391E-1	-4.253416693E0	4.320248282E0
1.637665083E0	-3.982615691E-1	-6.823265049E-1	-3.425319394E0	3.515251725E0
1.647657083E0	-4.814800559E-1	-4.783463868E-1	-2.701064553E0	2.785029269E0
1.657649083E0	-6.381345646E-1	-2.584171110E-1	-2.083012689E0	2.193840693E0
1.667640083E0	-6.654053206E-1	-4.078049925E-1	-1.213478512E0	1.442774844E0
1.677632083E0	-2.674181686E-1	-5.135656285E-1	-1.589857936E-2	5.792364772E-1
1.687624083E0	4.401747398E-1	-6.273243785E-1	3.333236273E0	3.420197908E0
1.697615083E0	3.938183065E-1	-1.210934973E-1	1.918059812E0	1.961812920E0
1.707607083E0	2.601795349E-1	8.076963633E-1	2.470302433E-1	8.837933847E-1
1.717599083E0	4.317930120E-1	9.248935685E-1	2.567331129E-1	1.052513757E0
1.727590083E0	8.009999127E-1	1.438260684E0	-4.569324213E-1	1.708502822E0
1.737582083E0	1.023153177E0	2.075914169E0	-4.356286758E-1	2.355001997E0
1.747574083E0	9.307032157E-1	2.358082670E0	-1.052077818E-1	2.537288125E0
1.757565083E0	8.144788411E-1	2.366720469E0	5.988636410E-1	2.573592668E0
1.767557083E0	9.939388065E-1	2.160956366E0	1.905835038E0	3.047926173E0
1.777549083E0	1.048665383E0	1.723145217E0	3.184443346E0	3.769563363E0
1.787540083E0	1.013994318E0	1.518187444E0	3.934551651E0	4.337484788E0
