Time (s),Absolute acceleration (m/s^2)
245.2328907,9.694013354470588
245.2428457,9.655067724882352
245.2528017,9.609545474117647
245.2627567,9.527667145705882
245.2727127,9.430123858490196
245.2826677,9.35126868827451
245.2926237,9.30553848754902
245.3025787,9.409269577470589
245.3125347,9.645131161941176
245.3224907,9.806081558607843
245.3324457,9.978574677627451
245.3424017,10.256979164058825
245.3523567,10.772482218117647
245.3623127,11.443902703176471
245.3722677,12.039074022627451
245.3822237,12.592879889705884
245.3921787,13.091072464862746
245.4021347,13.469873905882354
245.4120897,13.710742032549021
245.4220457,13.877477647254901
245.4320007,13.95747733254902
245.4419567,13.90722931039216
245.4519127,13.761937645686274
245.4618677,13.563209772999999
245.4718237,13.36396591880392
245.4817787,13.17343129762745
245.4917347,12.9473577047451
245.5016897,12.685681696117646
245.5116457,12.429112328058823
245.5216007,12.184287351980393
245.5315567,11.914781628901961
245.5415117,11.656067415039216
245.5514677,11.441909718705883
245.5614237,11.231916826529412
245.5713787,11.035139913137256
245.5813347,10.87386531754902
245.5912897,10.743011260686275
245.6012457,10.646189446882353
245.6112007,10.538661270843138
245.6211567,10.452418920470588
245.6311117,10.369154182764706
245.6410677,10.36484927617647
245.6510227,10.42873559909804
245.6609787,10.513772417254902
245.6709337,10.596392983176472
245.6808897,10.646654047725487
245.6908457,10.71229677545098
245.7008007,10.797624075254902
245.7107567,10.883632307941177
245.7207117,10.997713370725489
245.7306677,11.18827244117647
245.7406227,11.434921454686274
245.7505787,11.697800745843137
245.7605337,12.044792805235295
245.7704897,12.477293087568627
245.7804457,12.899076977333333
245.7904007,13.255629163235294
245.8003566,13.596287966
245.8103116,13.810492412078432
245.8202676,13.891018399921569
245.8302226,14.00804419992157
245.8401786,14.068404752666668
245.8501336,14.011039196392156
245.8600896,13.720585478941175
245.8700446,13.270539355803923
245.8800006,12.849910318941177
245.8899556,12.42799229737255
245.8999116,12.001834331294118
245.9098676,11.657321404431372
245.9198226,11.401396186980392
245.9297786,11.17323430282353
245.9397336,10.993603302450978
245.9496896,10.867511267156862
245.9596446,10.79611958509804
245.9696006,10.797228013529411
245.9795556,10.819761769960785
245.9895116,10.832105581705884
245.9994676,10.866039799196079
246.0094226,10.910207794392159
246.0193786,10.940024976843137
246.0293336,10.981023975980392
246.0392896,11.035948437666667
246.0492446,11.10097089045098
246.0592006,11.181960634392157
246.0691556,11.29721296680392
246.0791116,11.399283454647058
246.0890666,11.447517930882354
246.0990226,11.489311311509805
246.1089786,11.539375203999999
246.1189336,11.712657017333333
246.1288896,11.913702863509805
246.1388446,12.15742269935294
246.1488006,12.412190320490195
246.1587556,12.599759120313726
246.1687116,12.766786169745098
246.1786666,12.89788868309804
246.1886226,13.036254819411765
246.1985786,13.246099934137256
246.2085336,13.482468329470588
246.2184896,13.665201343392157
246.2284446,13.774755955156863
246.2384006,13.766903152607842
246.2483556,13.66325269809804
246.2583116,13.525584499862745
246.2682666,13.29628576417647
246.2782226,12.977816076529413
246.2881776,12.684544140450981
246.2981336,12.451324179274508
246.3080896,12.223651807117648
246.3180446,11.98306820662745
246.3280006,11.742898727215685
246.3379556,11.511094037490196
246.3479116,11.265632743117646
246.3578666,10.99803752592157
246.3678226,10.736600848941178
246.3777776,10.493585467843138
246.3877336,10.279494819333333
246.3976896,10.140806802137256
246.4076446,10.122539055078432
246.4176006,10.087185694843138
246.4275556,10.023897733411763
246.4375116,9.974949473607843
246.4474666,9.905020193117648
246.4574226,9.797602430058824
246.4673776,9.733814969764707
246.4773336,9.621217322137255
246.4872896,9.574280069725491
246.4972446,9.568651618705882
246.5072006,9.585577368215686
246.5171556,9.588625975764705
246.5271116,9.637408167392158
246.5370666,9.659207137607844
246.5470226,9.667196913627452
246.5569776,9.690807950627452
246.5669336,9.722797158568628
246.5768886,9.750713879098038
246.5868446,9.782797923215686
246.5968006,9.865821294411766
246.6067556,9.991476592509803
246.6167116,10.106073049156864
246.6266666,10.169243536784313
246.6366226,10.196229230509804
246.6465776,10.179919712666667
246.6565336,10.119037837568628
246.6664886,10.081587463843139
246.6764446,10.061500401490196
246.6863996,10.103133677960786
246.6963556,10.14713287090196
246.7063116,10.111828960509804
246.7162666,10.084111538156863
246.7262226,10.136753087764706
246.7361776,10.173004443058824
246.7461336,10.134266801098038
246.7560886,10.076661116980393
246.7660446,10.016247713843137
246.7760006,9.949556674235295
246.7859556,9.869781584039215
246.7959116,9.794596988921569
246.8058666,9.735863167941176
246.8158226,9.729491115784313
246.8257776,9.781428305490197
246.8357336,9.823620595882353
246.8456886,9.847404598372549
246.8556446,9.882594963607843
246.8655996,9.91580457492157
246.8755556,9.92656334290196
246.8855116,9.919497287372549
246.8954666,9.906363026137255
246.9054226,9.851553152235294
246.9153776,9.71691112645098
246.9253336,9.613457932392157
246.9352886,9.558083838784313
246.9452446,9.513854563352941
246.9551996,9.502896391686274
246.9651556,9.54517512945098
246.9751116,9.563132615607842
246.9850666,9.645145986588236
246.9950226,9.690273957
247.0049776,9.731070144509804
247.0149336,9.770615136980393
247.0248886,9.840005154294118
247.0348446,9.895790761196078
247.0447996,9.971288912431373
247.0547556,10.055092617607844
247.0647106,10.125273761882355
247.0746666,10.180020152803921
247.0846226,10.240946792039216
247.0945776,10.321134022686273
247.1045336,10.403775062607844
247.1144886,10.466680726137254
